Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
0,-1.359807134,-0.072781173,2.536346738,1.378155224,-0.33832077,0.462387778,0.239598554,0.098697901,0.36378697,0.090794172,-0.551599533,-0.617800856,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.02579058,0.40399296,0.251412098,-0.018306778,0.277837576,-0.11047391,0.066928075,0.128539358,-0.189114844,0.133558377,-0.021053053,149.62
0,1.191857111,0.266150712,0.166480113,0.448154078,0.060017649,-0.082360809,-0.078802983,0.085101655,-0.255425128,-0.166974414,1.612726661,1.065235311,0.489095016,-0.143772296,0.635558093,0.463917041,-0.114804663,-0.18336127,-0.145783041,-0.069083135,-0.225775248,-0.638671953,0.101288021,-0.339846476,0.167170404,0.125894532,-0.008983099,0.014724169,2.69
1,-1.358354062,-1.340163075,1.773209343,0.379779593,-0.503198133,1.800499381,0.791460956,0.247675787,-1.514654323,0.207642865,0.624501459,0.066083685,0.717292731,-0.165945923,2.345864949,-2.890083194,1.109969379,-0.121359313,-2.261857095,0.524979725,0.247998153,0.771679402,0.909412262,-0.689280956,-0.327641834,-0.139096572,-0.055352794,-0.059751841,378.66
1,-0.966271712,-0.185226008,1.79299334,-0.863291275,-0.01030888,1.247203168,0.23760894,0.377435875,-1.387024063,-0.054951922,-0.226487264,0.178228226,0.50775687,-0.287923745,-0.631418118,-1.059647245,-0.684092786,1.965775003,-1.23262197,-0.208037781,-0.108300452,0.005273597,-0.190320519,-1.175575332,0.647376035,-0.221928844,0.062722849,0.061457629,123.5
2,-1.158233093,0.877736755,1.548717847,0.403033934,-0.407193377,0.095921462,0.592940745,-0.270532677,0.817739308,0.753074432,-0.822842878,0.53819555,1.345851593,-1.119669835,0.17512113,-0.451449183,-0.237033239,-0.038194787,0.803486925,0.40854236,-0.009430697,0.798278495,-0.13745808,0.141266984,-0.206009588,0.502292224,0.21942223,0.215153147,69.99
2,-0.425965884,0.960523045,1.141109342,-0.16825208,0.420986881,-0.029727552,0.476200949,0.260314333,-0.568671376,-0.371407197,1.34126198,0.359893837,-0.358090653,-0.1371337,0.517616807,0.401725896,-0.058132823,0.068653149,-0.033193788,0.084967672,-0.208253515,-0.559824796,-0.026397668,-0.371426583,-0.232793817,0.105914779,0.253844225,0.081080257,3.67
4,1.229657635,0.141003507,0.045370774,1.202612737,0.191880989,0.272708123,-0.005159003,0.08121294,0.464959995,-0.099254321,-1.416907243,-0.153825826,-0.751062716,0.167371963,0.050143594,-0.443586798,0.002820512,-0.61198734,-0.045575045,-0.219632553,-0.167716266,-0.270709726,-0.154103787,-0.780055415,0.750136936,-0.257236846,0.03450743,0.005167769,4.99
7,-0.644269442,1.417963545,1.074380376,-0.492199018,0.948934095,0.428118463,1.120631358,-3.807864239,0.615374731,1.249376178,-0.619467796,0.291474353,1.757964214,-1.32386522,0.686132504,-0.076126999,-1.222127345,-0.35822157,0.324504731,-0.156741852,1.94346534,-1.01545471,0.05750353,-0.649709006,-0.415266566,-0.051634297,-1.206921081,-1.085339188,40.8
7,-0.894286082,0.286157196,-0.113192213,-0.27152613,2.66959866,3.721818061,0.370145128,0.851084443,-0.392047587,-0.410430433,-0.705116587,-0.110452262,-0.286253632,0.07435536,-0.32878305,-0.210077268,-0.499767969,0.118764861,0.570328167,0.052735669,-0.0734251,-0.268091632,-0.20423267,1.011591802,0.37320468,-0.384157308,0.011747356,0.14240433,93.2
9,-0.338261752,1.119593376,1.044366552,-0.222187277,0.499360806,-0.246761101,0.651583206,0.069538587,-0.736727316,-0.366845639,1.017614468,0.83638957,1.006843514,-0.443522817,0.150219101,0.739452777,-0.540979922,0.47667726,0.451772964,0.203711455,-0.246913937,-0.633752642,-0.120794084,-0.385049925,-0.069733046,0.094198834,0.246219305,0.083075649,3.68
